#2001:16a2:cd00::/40,budget:5000000
target:4999999,active:1239,hitrate:0.0002478000495600099,duration:1144.9243986606598

#2804:6df0:4000::/34,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1196.4511060714722

#240e:540::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1162.7445821762085

#2a11:29c0:3dfe::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1157.576443195343

#2a04:4e40:f810::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1169.0044283866882

#2001:559:c0cd::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1149.8046493530273

#2806:2f0:47c0::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1180.127098083496

#2408:8211::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1177.7855486869812

#2001:559:c279::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1161.0407965183258

#2400:d740::/32,budget:5000000
target:4999996,active:293,hitrate:5.8600046880037505e-05,duration:1107.0466315746307

#2408:820c:a900::/44,budget:5000000
target:4999993,active:65,hitrate:1.300001820002548e-05,duration:1173.104175567627

#2405:a3c0::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1173.922268152237

#2409:8c14:ac00::/39,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1204.3327486515045

#2408:8256:1590::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1132.3913040161133

#2a02:88d:820d::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1127.991056919098

#240e:67a:800::/37,budget:5000000
target:4999999,active:7,hitrate:1.400000280000056e-06,duration:1209.943043231964

#240e:698:2a00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1168.4290869235992

#2403:5cc0:19::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1164.6316306591034

#2a02:26f7:d008::/48,budget:5000000
target:4999997,active:4731767,hitrate:0.9463539678123807,duration:1186.7430756092072

#2804:4660:e000::/37,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1182.267802476883

#2804:7b08::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1163.4744365215302

#2409:8959:cb48::/46,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1141.6307377815247

#2001:918:ff76::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1137.337373971939

#2406:1200::/32,budget:5000000
target:4999996,active:1,hitrate:2.00000160000128e-07,duration:1088.3809773921967

#2401:fd80:102::/48,budget:5000000
target:4999997,active:8,hitrate:1.600000960000576e-06,duration:1163.1717014312744

#2402:8100:3a28::/46,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1131.4127550125122

#2605:ed00:4560::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1150.965396642685

#2a00:1cc0::/32,budget:5000000
target:4999996,active:48,hitrate:9.600007680006145e-06,duration:1157.3495740890503

#2402:f840:8::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1175.968237876892

